Review_scores,Daily_price,Size,Area
93,170,1.5,Manhattan
99,500,1.5,Manhattan
88,180,1.5,Brooklyn
94,175,1.5,Manhattan
96,240,1.5,Manhattan
100,300,1.5,Manhattan
97,110,1.5,Brooklyn
,115,1.5,Brooklyn
93,75,1.5,Manhattan
83,100,1.5,Brooklyn
99,165,1.5,Manhattan
87,300,1.5,Brooklyn
94,140,1.5,Brooklyn
87,120,1.5,Brooklyn
99,275,1.5,Brooklyn
94,109,1.5,Manhattan
91,179,1.5,Manhattan
100,189,1.5,Brooklyn
97,219,1.5,Manhattan
96,450,1.5,Manhattan
100,249,1.5,Manhattan
75,65,1.5,Queens
97,250,1.5,Brooklyn
93,139,1.5,Manhattan
89,120,1.5,Brooklyn
100,70,1.5,Queens
97,90,1.5,Manhattan
97,199,1.5,Manhattan
96,50,1.5,Brooklyn
,100,1.5,Brooklyn
,110,1.5,Manhattan
88,157,1.5,Brooklyn
97,199,1.5,Brooklyn
100,192,1.5,Queens
97,199,1.5,Brooklyn
96,150,1.5,Manhattan
98,199,1.5,Brooklyn
97,199,1.5,Brooklyn
97,199,1.5,Brooklyn
95,105,1.5,Brooklyn
84,135,1.5,Brooklyn
96,199,1.5,Brooklyn
94,125,1.5,Brooklyn
80,60,1.5,Brooklyn
99,300,1.5,Manhattan
96,55,1.5,Queens
90,44,1.5,Brooklyn
90,55,1.5,Brooklyn
90,30,1.5,Brooklyn
94,299,1.5,Brooklyn
100,35,1.5,Brooklyn
95,55,1.5,Brooklyn
,75,1.5,Brooklyn
,190,1.5,Manhattan
97,250,1.5,Manhattan
90,95,1.5,Brooklyn
98,140,1.5,Manhattan
94,50,1.5,Brooklyn
97,75,1.5,Brooklyn
100,60,1.5,Manhattan
90,150,1.5,Manhattan
98,250,1.5,Manhattan
96,205,1.5,Brooklyn
99,135,1.5,Brooklyn
92,65,1.5,Brooklyn
87,59,1.5,Staten Island
83,75,1.5,Manhattan
99,85,1.5,Brooklyn
84,109,1.5,Manhattan
93,55,1.5,Queens
97,100,1.5,Brooklyn
88,105,1.5,Manhattan
95,89,1.5,Manhattan
93,135,1.5,Brooklyn
96,174,1.5,Brooklyn
92,89,1.5,Brooklyn
99,110,1.5,Manhattan
96,130,1.5,Brooklyn
91,78,1.5,Brooklyn
98,49,1.5,Brooklyn
97,79,1.5,Brooklyn
100,135,1.5,Manhattan
97,185,1.5,Brooklyn
94,225,1.5,Brooklyn
96,245,1.5,Manhattan
96,135,1.5,Manhattan
98,325,1.5,Brooklyn
99,95,1.5,Brooklyn
95,120,1.5,Manhattan
98,195,1.5,Brooklyn
98,499,1.5,Manhattan
89,88,1.5,Brooklyn
95,160,1.5,Brooklyn
96,219,1.5,Manhattan
95,218,1.5,Manhattan
93,159,1.5,Manhattan
92,180,1.5,Brooklyn
80,150,1.5,Manhattan
91,106,1.5,Manhattan
96,299,1.5,Manhattan
95,165,1.5,Brooklyn
89,500,1.5,Brooklyn
94,250,1.5,Manhattan
94,87,1.5,Manhattan
97,79,1.5,Brooklyn
95,75,1.5,Manhattan
93,200,1.5,Brooklyn
96,80,1.5,Manhattan
83,76,1.5,Brooklyn
80,75,1.5,Brooklyn
80,75,1.5,Brooklyn
97,125,1.5,Manhattan
99,387,1.5,Manhattan
96,95,1.5,Manhattan
82,99,1.5,Manhattan
70,121,1.5,Manhattan
95,75,1.5,Manhattan
97,95,1.5,Manhattan
100,195,1.5,Manhattan
,160,1.5,Manhattan
97,70,1.5,Brooklyn
89,100,1.5,Manhattan
100,135,1.5,Manhattan
86,189,1.5,Manhattan
,160,1.5,Brooklyn
91,178,1.5,Brooklyn
92,145,1.5,Brooklyn
97,125,1.5,Brooklyn
98,265,1.5,Manhattan
89,77,1.5,Brooklyn
88,129,1.5,Manhattan
96,199,1.5,Manhattan
96,92,1.5,Brooklyn
99,68,1.5,Brooklyn
92,115,1.5,Manhattan
100,133,1.5,Queens
96,97,1.5,Manhattan
98,80,1.5,Brooklyn
84,80,1.5,Manhattan
,125,1.5,Brooklyn
100,120,1.5,Brooklyn
92,94,1.5,Brooklyn
95,56,1.5,Brooklyn
94,549,1.5,Manhattan
96,190,1.5,Brooklyn
99,139,1.5,Brooklyn
95,90,1.5,Brooklyn
96,20,1.5,Staten Island
87,145,1.5,Manhattan
94,225,1.5,Manhattan
100,50,1.5,Brooklyn
96,160,1.5,Manhattan
98,180,1.5,Manhattan
97,100,1.5,Manhattan
100,70,1.5,Brooklyn
96,120,1.5,Bronx
100,150,1.5,Manhattan
96,97,1.5,Staten Island
93,120,1.5,Manhattan
97,250,1.5,Manhattan
88,187,1.5,Manhattan
98,99,1.5,Manhattan
91,145,1.5,Manhattan
,80,1.5,Brooklyn
69,90,1.5,Brooklyn
95,75,1.5,Queens
94,159,1.5,Brooklyn
95,45,1.5,Brooklyn
92,104,1.5,Manhattan
99,225,1.5,Manhattan
98,100,1.5,Manhattan
100,90,1.5,Brooklyn
91,75,1.5,Queens
,350,1.5,Manhattan
95,135,1.5,Manhattan
94,125,1.5,Manhattan
94,225,1.5,Manhattan
93,85,1.5,Manhattan
88,200,1.5,Manhattan
99,250,1.5,Brooklyn
90,275,1.5,Manhattan
98,90,1.5,Manhattan
93,130,1.5,Brooklyn
87,50,1.5,Bronx
98,300,1.5,Manhattan
96,125,1.5,Manhattan
100,147,1.5,Manhattan
100,300,1.5,Manhattan
92,123,1.5,Brooklyn
94,88,1.5,Brooklyn
99,215,1.5,Queens
96,225,1.5,Manhattan
90,75,1.5,Brooklyn
,145,1.5,Manhattan
95,229,1.5,Brooklyn
100,300,1.5,Brooklyn
93,100,1.5,Manhattan
97,75,1.5,Brooklyn
98,120,1.5,Brooklyn
94,180,1.5,Brooklyn
98,125,1.5,Brooklyn
94,95,1.5,Brooklyn
98,119,1.5,Brooklyn
97,275,1.5,Manhattan
100,175,1.5,Manhattan
94,100,1.5,Brooklyn
92,160,1.5,Brooklyn
97,102,1.5,Manhattan
92,90,1.5,Brooklyn
100,200,1.5,Manhattan
97,199,1.5,Manhattan
89,250,1.5,Brooklyn
90,45,1.5,Brooklyn
95,150,1.5,Queens
98,325,1.5,Manhattan
94,99,1.5,Manhattan
99,325,1.5,Manhattan
98,168,1.5,Brooklyn
99,55,1.5,Brooklyn
98,60,1.5,Manhattan
97,250,1.5,Manhattan
98,265,1.5,Manhattan
99,50,1.5,Queens
90,50,1.5,Brooklyn
98,130,1.5,Brooklyn
97,150,1.5,Brooklyn
89,70,1.5,Brooklyn
94,138,1.5,Brooklyn
100,151,1.5,Manhattan
98,200,1.5,Brooklyn
95,65,1.5,Manhattan
90,55,1.5,Manhattan
99,110,1.5,Brooklyn
95,350,1.5,Manhattan
93,150,1.5,Brooklyn
95,55,1.5,Brooklyn
100,345,1.5,Brooklyn
94,77,1.5,Queens
100,125,1.5,Manhattan
94,189,1.5,Brooklyn
98,49,1.5,Bronx
75,95,1.5,Manhattan
80,100,1.5,Manhattan
80,299,1.5,Brooklyn
89,99,1.5,Queens
83,99,1.5,Queens
92,90,1.5,Brooklyn
98,94,1.5,Manhattan
97,80,1.5,Brooklyn
95,88,1.5,Bronx
95,250,1.5,Manhattan
94,55,1.5,Brooklyn
,110,1.5,Brooklyn
100,200,1.5,Brooklyn
