income,Daily_price,Size,Area
235,140,1.5,Brooklyn
180,200,1.5,Brooklyn
252,165,1.5,Brooklyn
1404,130,1.5,Manhattan
1049,60,1.5,Manhattan
1033,123,1.5,Brooklyn
1210,67,1.5,Manhattan
294,50,1.5,Queens
1747,130,1.5,Brooklyn
5365,279,1.5,Manhattan
447,100,1.5,Brooklyn
3740,212,1.5,Manhattan
3360,160,1.5,Brooklyn
683,599,1.5,Brooklyn
116,70,1.5,Queens
1020,100,1.5,Brooklyn
1239,59,1.5,Manhattan
1260,60,1.5,Manhattan
1539,135,1.5,Brooklyn
3675,175,1.5,Brooklyn
936,120,1.5,Manhattan
3129,149,1.5,Manhattan
69,165,1.5,Brooklyn
24,90,1.5,Manhattan
1586,225,1.5,Manhattan
1995,95,1.5,Brooklyn
1890,90,1.5,Brooklyn
1155,55,1.5,Brooklyn
1374,95,1.5,Manhattan
842,199,1.5,Brooklyn
2026,211,1.5,Manhattan
638,65,1.5,Manhattan
2079,99,1.5,Manhattan
1665,85,1.5,Manhattan
1680,80,1.5,Brooklyn
3675,175,1.5,Brooklyn
1071,102,1.5,Brooklyn
1827,87,1.5,Manhattan
1511,190,1.5,Brooklyn
1356,200,1.5,Brooklyn
465,165,1.5,Brooklyn
2211,110,1.5,Manhattan
4041,395,1.5,Manhattan
621,99,1.5,Brooklyn
1798,999,1.5,Manhattan
3969,189,1.5,Manhattan
33,85,1.5,Manhattan
468,260,1.5,Brooklyn
2150,140,1.5,Manhattan
3465,165,1.5,Brooklyn
1254,97,1.5,Queens
225,125,1.5,Brooklyn
1981,130,1.5,Manhattan
1181,225,1.5,Brooklyn
1050,50,1.5,Brooklyn
2111,170,1.5,Brooklyn
170,132,1.5,Manhattan
675,250,1.5,Brooklyn
853,180,1.5,Manhattan
360,141,1.5,Brooklyn
1344,64,1.5,Brooklyn
5229,249,1.5,Brooklyn
1112,79,1.5,Brooklyn
2133,225,1.5,Manhattan
2100,100,1.5,Brooklyn
4374,900,1.5,Brooklyn
956,375,1.5,Manhattan
1544,175,1.5,Manhattan
