Availability,Daily_price,Size,Area
60,92,1.5,Brooklyn
203,300,1.5,Manhattan
0,160,1.5,Brooklyn
0,72,1.5,Manhattan
72,155,1.5,Manhattan
41,185,1.5,Brooklyn
0,73,1.5,Queens
65,255,1.5,Manhattan
231,85,1.5,Manhattan
179,99,1.5,Brooklyn
0,48,1.5,Brooklyn
0,200,1.5,Manhattan
0,485,1.5,Manhattan
364,350,1.5,Manhattan
276,109,1.5,Manhattan
318,167,1.5,Manhattan
0,220,1.5,Manhattan
307,210,1.5,Manhattan
73,55,1.5,Queens
365,50,1.5,Bronx
347,60,1.5,Brooklyn
179,99,1.5,Manhattan
362,279,1.5,Manhattan
9,130,1.5,Manhattan
0,290,1.5,Brooklyn
3,350,1.5,Manhattan
275,50,1.5,Brooklyn
232,95,1.5,Queens
0,45,1.5,Brooklyn
336,85,1.5,Queens
316,40,1.5,Brooklyn
0,250,1.5,Manhattan
311,62,1.5,Brooklyn
116,60,1.5,Brooklyn
59,65,1.5,Brooklyn
365,125,1.5,Manhattan
42,300,1.5,Manhattan
332,180,1.5,Manhattan
256,60,1.5,Manhattan
365,499,1.5,Manhattan
0,100,1.5,Brooklyn
124,60,1.5,Brooklyn
203,1300,1.5,Manhattan
0,200,1.5,Manhattan
56,99,1.5,Manhattan
121,110,1.5,Brooklyn
203,135,1.5,Brooklyn
269,110,1.5,Manhattan
256,105,1.5,Brooklyn
202,165,1.5,Brooklyn
319,127,1.5,Brooklyn
343,402,1.5,Brooklyn
183,85,1.5,Manhattan
349,75,1.5,Brooklyn
0,75,1.5,Brooklyn
340,57,1.5,Manhattan
0,30,1.5,Queens
0,64,1.5,Brooklyn
261,800,1.5,Brooklyn
0,250,1.5,Brooklyn
0,200,1.5,Manhattan
359,130,1.5,Manhattan
365,90,1.5,Brooklyn
46,90,1.5,Manhattan
41,97,1.5,Brooklyn
274,91,1.5,Brooklyn
336,125,1.5,Brooklyn
0,75,1.5,Brooklyn
46,170,1.5,Manhattan
121,500,1.5,Manhattan
116,180,1.5,Brooklyn
0,175,1.5,Manhattan
173,240,1.5,Manhattan
0,300,1.5,Manhattan
298,110,1.5,Brooklyn
348,115,1.5,Brooklyn
0,75,1.5,Manhattan
0,100,1.5,Brooklyn
0,165,1.5,Manhattan
195,300,1.5,Brooklyn
103,140,1.5,Brooklyn
179,120,1.5,Brooklyn
264,275,1.5,Brooklyn
122,109,1.5,Manhattan
0,179,1.5,Manhattan
0,189,1.5,Brooklyn
260,219,1.5,Manhattan
0,450,1.5,Manhattan
0,249,1.5,Manhattan
363,65,1.5,Queens
174,250,1.5,Brooklyn
100,139,1.5,Manhattan
268,120,1.5,Brooklyn
0,70,1.5,Queens
212,90,1.5,Manhattan
356,199,1.5,Manhattan
71,50,1.5,Brooklyn
0,100,1.5,Brooklyn
0,110,1.5,Manhattan
148,157,1.5,Brooklyn
349,199,1.5,Brooklyn
0,192,1.5,Queens
340,199,1.5,Brooklyn
0,150,1.5,Manhattan
315,199,1.5,Brooklyn
318,199,1.5,Brooklyn
342,199,1.5,Brooklyn
0,105,1.5,Brooklyn
72,135,1.5,Brooklyn
345,199,1.5,Brooklyn
0,125,1.5,Brooklyn
0,60,1.5,Brooklyn
84,300,1.5,Manhattan
348,55,1.5,Queens
0,44,1.5,Brooklyn
268,55,1.5,Brooklyn
0,30,1.5,Brooklyn
365,299,1.5,Brooklyn
0,35,1.5,Brooklyn
0,55,1.5,Brooklyn
359,75,1.5,Brooklyn
0,190,1.5,Manhattan
168,250,1.5,Manhattan
348,95,1.5,Brooklyn
44,140,1.5,Manhattan
0,50,1.5,Brooklyn
113,75,1.5,Brooklyn
225,60,1.5,Manhattan
88,150,1.5,Manhattan
159,250,1.5,Manhattan
243,205,1.5,Brooklyn
0,135,1.5,Brooklyn
111,65,1.5,Brooklyn
345,59,1.5,Staten Island
365,75,1.5,Manhattan
345,85,1.5,Brooklyn
334,109,1.5,Manhattan
365,55,1.5,Queens
89,100,1.5,Brooklyn
296,105,1.5,Manhattan
263,89,1.5,Manhattan
338,135,1.5,Brooklyn
145,174,1.5,Brooklyn
42,89,1.5,Brooklyn
236,110,1.5,Manhattan
141,130,1.5,Brooklyn
93,78,1.5,Brooklyn
360,49,1.5,Brooklyn
337,79,1.5,Brooklyn
207,135,1.5,Manhattan
323,185,1.5,Brooklyn
0,225,1.5,Brooklyn
0,245,1.5,Manhattan
15,135,1.5,Manhattan
1,325,1.5,Brooklyn
32,95,1.5,Brooklyn
0,120,1.5,Manhattan
86,195,1.5,Brooklyn
179,499,1.5,Manhattan
83,88,1.5,Brooklyn
0,160,1.5,Brooklyn
10,219,1.5,Manhattan
354,218,1.5,Manhattan
0,159,1.5,Manhattan
210,180,1.5,Brooklyn
0,150,1.5,Manhattan
184,106,1.5,Manhattan
129,299,1.5,Manhattan
141,165,1.5,Brooklyn
0,500,1.5,Brooklyn
317,250,1.5,Manhattan
0,87,1.5,Manhattan
129,79,1.5,Brooklyn
296,75,1.5,Manhattan
0,200,1.5,Brooklyn
364,80,1.5,Manhattan
365,76,1.5,Brooklyn
365,75,1.5,Brooklyn
365,75,1.5,Brooklyn
245,125,1.5,Manhattan
12,387,1.5,Manhattan
59,95,1.5,Manhattan
0,99,1.5,Manhattan
361,121,1.5,Manhattan
150,75,1.5,Manhattan
51,95,1.5,Manhattan
348,195,1.5,Manhattan
0,160,1.5,Manhattan
0,70,1.5,Brooklyn
0,100,1.5,Manhattan
120,135,1.5,Manhattan
354,189,1.5,Manhattan
0,160,1.5,Brooklyn
362,178,1.5,Brooklyn
258,145,1.5,Brooklyn
0,125,1.5,Brooklyn
337,265,1.5,Manhattan
365,77,1.5,Brooklyn
137,129,1.5,Manhattan
73,199,1.5,Manhattan
357,92,1.5,Brooklyn
0,68,1.5,Brooklyn
0,115,1.5,Manhattan
365,133,1.5,Queens
89,97,1.5,Manhattan
264,80,1.5,Brooklyn
355,80,1.5,Manhattan
0,125,1.5,Brooklyn
364,120,1.5,Brooklyn
14,94,1.5,Brooklyn
0,56,1.5,Brooklyn
72,549,1.5,Manhattan
0,190,1.5,Brooklyn
90,139,1.5,Brooklyn
214,90,1.5,Brooklyn
295,20,1.5,Staten Island
0,145,1.5,Manhattan
356,225,1.5,Manhattan
0,50,1.5,Brooklyn
365,160,1.5,Manhattan
365,180,1.5,Manhattan
365,100,1.5,Manhattan
0,70,1.5,Brooklyn
330,120,1.5,Bronx
362,150,1.5,Manhattan
365,97,1.5,Staten Island
54,120,1.5,Manhattan
0,250,1.5,Manhattan
88,187,1.5,Manhattan
151,99,1.5,Manhattan
343,145,1.5,Manhattan
89,80,1.5,Brooklyn
48,90,1.5,Brooklyn
0,75,1.5,Queens
71,159,1.5,Brooklyn
0,45,1.5,Brooklyn
112,104,1.5,Manhattan
3,225,1.5,Manhattan
1,100,1.5,Manhattan
89,90,1.5,Brooklyn
365,75,1.5,Queens
0,350,1.5,Manhattan
199,135,1.5,Manhattan
365,125,1.5,Manhattan
0,225,1.5,Manhattan
364,85,1.5,Manhattan
365,200,1.5,Manhattan
11,250,1.5,Brooklyn
0,275,1.5,Manhattan
320,90,1.5,Manhattan
0,130,1.5,Brooklyn
292,50,1.5,Bronx
115,300,1.5,Manhattan
33,125,1.5,Manhattan
0,147,1.5,Manhattan
365,300,1.5,Manhattan
34,123,1.5,Brooklyn
162,88,1.5,Brooklyn
302,215,1.5,Queens
214,225,1.5,Manhattan
267,75,1.5,Brooklyn
0,145,1.5,Manhattan
301,229,1.5,Brooklyn
325,300,1.5,Brooklyn
113,100,1.5,Manhattan
0,75,1.5,Brooklyn
7,120,1.5,Brooklyn
165,180,1.5,Brooklyn
272,125,1.5,Brooklyn
0,95,1.5,Brooklyn
340,119,1.5,Brooklyn
173,275,1.5,Manhattan
0,175,1.5,Manhattan
177,100,1.5,Brooklyn
225,160,1.5,Brooklyn
291,102,1.5,Manhattan
226,90,1.5,Brooklyn
8,200,1.5,Manhattan
58,199,1.5,Manhattan
75,250,1.5,Brooklyn
71,45,1.5,Brooklyn
256,150,1.5,Queens
364,325,1.5,Manhattan
361,99,1.5,Manhattan
199,325,1.5,Manhattan
13,168,1.5,Brooklyn
81,55,1.5,Brooklyn
0,60,1.5,Manhattan
0,250,1.5,Manhattan
302,265,1.5,Manhattan
0,50,1.5,Queens
31,50,1.5,Brooklyn
1,130,1.5,Brooklyn
180,150,1.5,Brooklyn
316,70,1.5,Brooklyn
271,138,1.5,Brooklyn
103,151,1.5,Manhattan
365,200,1.5,Brooklyn
329,65,1.5,Manhattan
0,55,1.5,Manhattan
135,110,1.5,Brooklyn
0,350,1.5,Manhattan
44,150,1.5,Brooklyn
317,55,1.5,Brooklyn
147,345,1.5,Brooklyn
62,77,1.5,Queens
0,125,1.5,Manhattan
365,189,1.5,Brooklyn
0,49,1.5,Bronx
257,95,1.5,Manhattan
225,100,1.5,Manhattan
0,299,1.5,Brooklyn
180,99,1.5,Queens
365,99,1.5,Queens
310,90,1.5,Brooklyn
34,94,1.5,Manhattan
365,80,1.5,Brooklyn
212,88,1.5,Bronx
312,250,1.5,Manhattan
