Occupancy_rate,Daily_price,Size,Area
70,180,1.5,Manhattan
70,60,1.5,Manhattan
21.3,499,1.5,Manhattan
3,100,1.5,Brooklyn
20.5,60,1.5,Brooklyn
12.8,1300,1.5,Manhattan
70,200,1.5,Manhattan
44.8,99,1.5,Manhattan
70,110,1.5,Brooklyn
6.8,135,1.5,Brooklyn
2,110,1.5,Manhattan
3.4,105,1.5,Brooklyn
70,165,1.5,Brooklyn
24,127,1.5,Brooklyn
44.8,402,1.5,Brooklyn
61.6,85,1.5,Manhattan
11.7,75,1.5,Brooklyn
25.6,75,1.5,Brooklyn
70,57,1.5,Manhattan
1.3,30,1.5,Queens
1.3,64,1.5,Brooklyn
58.9,800,1.5,Brooklyn
11.1,250,1.5,Brooklyn
1.8,200,1.5,Manhattan
70,130,1.5,Manhattan
8,90,1.5,Brooklyn
47.4,90,1.5,Manhattan
70,97,1.5,Brooklyn
35.8,91,1.5,Brooklyn
70,125,1.5,Brooklyn
70,75,1.5,Brooklyn
10.7,170,1.5,Manhattan
34.6,500,1.5,Manhattan
2.6,180,1.5,Brooklyn
8.5,175,1.5,Manhattan
46.5,240,1.5,Manhattan
0.4,300,1.5,Manhattan
70,110,1.5,Brooklyn
70,115,1.5,Brooklyn
43.5,75,1.5,Manhattan
19.2,100,1.5,Brooklyn
32.4,165,1.5,Manhattan
25.6,300,1.5,Brooklyn
44.8,140,1.5,Brooklyn
70,120,1.5,Brooklyn
70,275,1.5,Brooklyn
26,109,1.5,Manhattan
9.1,179,1.5,Manhattan
7.7,189,1.5,Brooklyn
58.5,219,1.5,Manhattan
70,450,1.5,Manhattan
4.3,249,1.5,Manhattan
2.1,65,1.5,Queens
70,250,1.5,Brooklyn
17.9,139,1.5,Manhattan
70,120,1.5,Brooklyn
0.9,70,1.5,Queens
70,90,1.5,Manhattan
4.3,199,1.5,Manhattan
14.4,50,1.5,Brooklyn
70,100,1.5,Brooklyn
70,110,1.5,Manhattan
41.3,157,1.5,Brooklyn
20.1,199,1.5,Brooklyn
3,192,1.5,Queens
36.7,199,1.5,Brooklyn
46.5,150,1.5,Manhattan
39.7,199,1.5,Brooklyn
49.5,199,1.5,Brooklyn
11.9,199,1.5,Brooklyn
6.4,105,1.5,Brooklyn
46.9,135,1.5,Brooklyn
25.2,199,1.5,Brooklyn
7.3,125,1.5,Brooklyn
0.5,60,1.5,Brooklyn
23,300,1.5,Manhattan
34.6,55,1.5,Queens
3,44,1.5,Brooklyn
9.8,55,1.5,Brooklyn
11.1,30,1.5,Brooklyn
22.2,299,1.5,Brooklyn
2.1,35,1.5,Brooklyn
67.8,55,1.5,Brooklyn
70,75,1.5,Brooklyn
70,190,1.5,Manhattan
70,250,1.5,Manhattan
64.9,95,1.5,Brooklyn
25.2,140,1.5,Manhattan
29.4,50,1.5,Brooklyn
70,75,1.5,Brooklyn
70,60,1.5,Manhattan
6.1,150,1.5,Manhattan
70,250,1.5,Manhattan
70,205,1.5,Brooklyn
7.3,135,1.5,Brooklyn
57.6,65,1.5,Brooklyn
22.2,59,1.5,Staten Island
15.8,75,1.5,Manhattan
8.1,85,1.5,Brooklyn
42,109,1.5,Manhattan
48.2,55,1.5,Queens
35.4,100,1.5,Brooklyn
66,105,1.5,Manhattan
