income,Occupancy_rate,Size,Area
2111,41.4,1.5,Brooklyn
170,4.3,1.5,Manhattan
675,9,1.5,Brooklyn
853,15.8,1.5,Manhattan
360,8.5,1.5,Brooklyn
1344,70,1.5,Brooklyn
5229,70,1.5,Brooklyn
1112,46.9,1.5,Brooklyn
2133,31.6,1.5,Manhattan
2100,70,1.5,Brooklyn
4374,16.2,1.5,Brooklyn
956,8.5,1.5,Manhattan
1544,29.4,1.5,Manhattan
423,9.4,1.5,Manhattan
785,10.1,1.5,Manhattan
628,21.8,1.5,Manhattan
161,3.7,1.5,Brooklyn
123,4.3,1.5,Manhattan
6195,70,1.5,Manhattan
383,7.3,1.5,Manhattan
4966,36.7,1.5,Brooklyn
3255,70,1.5,Manhattan
5250,70,1.5,Manhattan
1449,70,1.5,Bronx
833,11.1,1.5,Manhattan
316,6.8,1.5,Brooklyn
2709,70,1.5,Queens
100,3.4,1.5,Brooklyn
3150,70,1.5,Brooklyn
823,49.9,1.5,Manhattan
6300,70,1.5,Manhattan
798,70,1.5,Queens
3675,70,1.5,Manhattan
410,18.2,1.5,Manhattan
3218,42.9,1.5,Brooklyn
1512,70,1.5,Brooklyn
549,11.1,1.5,Brooklyn
2179,53.8,1.5,Brooklyn
66,1.7,1.5,Brooklyn
2919,70,1.5,Brooklyn
845,32,1.5,Brooklyn
492,20.5,1.5,Brooklyn
3150,70,1.5,Manhattan
2844,47.4,1.5,Manhattan
798,70,1.5,Queens
35,1.3,1.5,Brooklyn
4037,29.9,1.5,Brooklyn
620,15.9,1.5,Brooklyn
1869,70,1.5,Brooklyn
1265,21.3,1.5,Manhattan
2079,70,1.5,Manhattan
1382,32.9,1.5,Manhattan
495,3.3,1.5,Brooklyn
672,70,1.5,Queens
5250,70,1.5,Manhattan
1260,70,1.5,Brooklyn
365,16.2,1.5,Manhattan
273,2.6,1.5,Brooklyn
117,1.9,1.5,Manhattan
85,1.3,1.5,Brooklyn
2205,70,1.5,Brooklyn
2504,47.7,1.5,Manhattan
959,18.8,1.5,Manhattan
961,42.7,1.5,Brooklyn
616,55.5,1.5,Bronx
979,38.4,1.5,Brooklyn
2226,70,1.5,Brooklyn
152,6.4,1.5,Manhattan
783,30.7,1.5,Brooklyn
1064,16.5,1.5,Manhattan
5250,70,1.5,Manhattan
1029,70,1.5,Manhattan
1911,70,1.5,Brooklyn
5832,48.6,1.5,Manhattan
671,14.9,1.5,Brooklyn
36000,60,1.5,Manhattan
666,22.2,1.5,Manhattan
7260,44,1.5,Manhattan
2444,43.1,1.5,Manhattan
1829,46.9,1.5,Manhattan
423,4.7,1.5,Manhattan
3528,42,1.5,Queens
3300,50,1.5,Queens
3260,54.6,1.5,Manhattan
1598,44.4,1.5,Manhattan
2625,70,1.5,Bronx
1470,70,1.5,Brooklyn
1470,70,1.5,Brooklyn
84,2.8,1.5,Manhattan
2079,70,1.5,Brooklyn
68,0.9,1.5,Manhattan
1413,27.7,1.5,Brooklyn
1332,26.9,1.5,Manhattan
260,10.2,1.5,Brooklyn
1319,44.4,1.5,Manhattan
31,0.4,1.5,Manhattan
3549,70,1.5,Brooklyn
1268,42.7,1.5,Brooklyn
923,18.2,1.5,Manhattan
941,19.6,1.5,Brooklyn
993,15.4,1.5,Brooklyn
2730,70,1.5,Brooklyn
1109,33.3,1.5,Manhattan
2919,70,1.5,Manhattan
1575,70,1.5,Queens
478,10.7,1.5,Manhattan
1050,70,1.5,Manhattan
903,70,1.5,Brooklyn
467,37.1,1.5,Brooklyn
936,36.7,1.5,Brooklyn
2205,70,1.5,Brooklyn
509,6.4,1.5,Brooklyn
1428,70,1.5,Manhattan
2546,48.5,1.5,Manhattan
2079,70,1.5,Brooklyn
2100,70,1.5,Brooklyn
1890,70,1.5,Manhattan
2400,50,1.5,Manhattan
423,14.1,1.5,Brooklyn
3574,62.7,1.5,Brooklyn
609,30.3,1.5,Brooklyn
194,3.4,1.5,Manhattan
2001,26.9,1.5,Brooklyn
114,3.8,1.5,Brooklyn
1995,70,1.5,Manhattan
3150,70,1.5,Manhattan
2432,55.9,1.5,Brooklyn
331,26.9,1.5,Brooklyn
1580,43.9,1.5,Brooklyn
283,6,1.5,Brooklyn
901,15.4,1.5,Brooklyn
1130,53.8,1.5,Brooklyn
514,13.7,1.5,Manhattan
333,6,1.5,Brooklyn
892,20.5,1.5,Brooklyn
1050,70,1.5,Queens
3885,70,1.5,Brooklyn
306,6.8,1.5,Brooklyn
2273,30.3,1.5,Manhattan
912,38,1.5,Manhattan
4830,70,1.5,Manhattan
126,4.2,1.5,Brooklyn
1659,70,1.5,Brooklyn
3240,54,1.5,Queens
1728,19.2,1.5,Manhattan
420,14,1.5,Brooklyn
1680,70,1.5,Manhattan
380,11.5,1.5,Brooklyn
513,17.1,1.5,Manhattan
696,42.2,1.5,Manhattan
556,24.7,1.5,Brooklyn
2821,64.4,1.5,Manhattan
1301,42.5,1.5,Brooklyn
321,10.7,1.5,Brooklyn
866,14.5,1.5,Manhattan
2667,70,1.5,Manhattan
441,9.8,1.5,Brooklyn
