income,Availability,Size,Area
2940,365,1.5,Manhattan
277,365,1.5,Queens
73,229,1.5,Manhattan
2310,259,1.5,Brooklyn
3759,50,1.5,Manhattan
168,301,1.5,Queens
914,180,1.5,Manhattan
4037,105,1.5,Manhattan
1575,358,1.5,Queens
305,328,1.5,Queens
1728,188,1.5,Brooklyn
1060,270,1.5,Manhattan
3570,146,1.5,Manhattan
2532,365,1.5,Manhattan
3596,136,1.5,Brooklyn
2038,70,1.5,Brooklyn
3360,0,1.5,Manhattan
3045,308,1.5,Manhattan
5061,226,1.5,Manhattan
81,0,1.5,Manhattan
1575,291,1.5,Queens
129,0,1.5,Manhattan
8379,0,1.5,Manhattan
1415,0,1.5,Brooklyn
403,0,1.5,Brooklyn
1933,21,1.5,Manhattan
1182,306,1.5,Brooklyn
2016,342,1.5,Brooklyn
353,2,1.5,Brooklyn
3766,352,1.5,Brooklyn
383,20,1.5,Manhattan
563,295,1.5,Brooklyn
176,72,1.5,Brooklyn
4179,73,1.5,Brooklyn
2717,323,1.5,Manhattan
790,365,1.5,Bronx
3780,315,1.5,Brooklyn
1211,316,1.5,Manhattan
54,348,1.5,Brooklyn
105,0,1.5,Manhattan
728,225,1.5,Queens
3129,303,1.5,Manhattan
107,350,1.5,Brooklyn
919,347,1.5,Brooklyn
13251,318,1.5,Manhattan
443,0,1.5,Manhattan
750,365,1.5,Manhattan
745,91,1.5,Manhattan
90,197,1.5,Brooklyn
5460,363,1.5,Brooklyn
3150,0,1.5,Brooklyn
821,0,1.5,Manhattan
176,365,1.5,Manhattan
8400,365,1.5,Manhattan
13388,205,1.5,Manhattan
2709,270,1.5,Brooklyn
2940,0,1.5,Manhattan
1254,0,1.5,Manhattan
131,48,1.5,Brooklyn
2016,268,1.5,Brooklyn
1224,346,1.5,Brooklyn
740,349,1.5,Brooklyn
1755,346,1.5,Brooklyn
80,364,1.5,Brooklyn
688,173,1.5,Manhattan
736,0,1.5,Manhattan
710,349,1.5,Brooklyn
663,349,1.5,Brooklyn
1146,340,1.5,Brooklyn
1021,331,1.5,Brooklyn
1349,314,1.5,Brooklyn
356,29,1.5,Brooklyn
127,29,1.5,Brooklyn
341,29,1.5,Brooklyn
161,75,1.5,Brooklyn
539,29,1.5,Brooklyn
43,0,1.5,Brooklyn
4620,329,1.5,Brooklyn
785,92,1.5,Brooklyn
3570,285,1.5,Brooklyn
349,0,1.5,Brooklyn
1797,364,1.5,Manhattan
2058,299,1.5,Brooklyn
2400,232,1.5,Brooklyn
1008,1,1.5,Brooklyn
1869,145,1.5,Brooklyn
2723,105,1.5,Brooklyn
212,0,1.5,Queens
1960,105,1.5,Manhattan
4095,0,1.5,Manhattan
1218,0,1.5,Manhattan
833,341,1.5,Staten Island
1050,365,1.5,Staten Island
66,41,1.5,Manhattan
161,302,1.5,Staten Island
3969,348,1.5,Manhattan
433,0,1.5,Brooklyn
222,0,1.5,Manhattan
803,194,1.5,Manhattan
365,0,1.5,Manhattan
574,0,1.5,Manhattan
3213,36,1.5,Manhattan
800,60,1.5,Brooklyn
6300,203,1.5,Manhattan
3360,0,1.5,Brooklyn
784,0,1.5,Manhattan
158,72,1.5,Manhattan
3885,41,1.5,Brooklyn
887,0,1.5,Queens
4475,65,1.5,Manhattan
1785,231,1.5,Manhattan
2079,179,1.5,Brooklyn
1008,0,1.5,Brooklyn
204,0,1.5,Manhattan
742,0,1.5,Manhattan
357,364,1.5,Manhattan
2289,276,1.5,Manhattan
1804,318,1.5,Manhattan
4620,0,1.5,Manhattan
2016,307,1.5,Manhattan
767,73,1.5,Queens
128,365,1.5,Bronx
369,347,1.5,Brooklyn
1292,179,1.5,Manhattan
5491,362,1.5,Manhattan
647,9,1.5,Manhattan
174,0,1.5,Brooklyn
3224,3,1.5,Manhattan
192,275,1.5,Brooklyn
1995,232,1.5,Queens
150,0,1.5,Brooklyn
1785,336,1.5,Queens
160,316,1.5,Brooklyn
960,0,1.5,Manhattan
1047,311,1.5,Brooklyn
153,116,1.5,Brooklyn
400,59,1.5,Brooklyn
2625,365,1.5,Manhattan
342,42,1.5,Manhattan
3780,332,1.5,Manhattan
1260,256,1.5,Manhattan
3189,365,1.5,Manhattan
90,0,1.5,Brooklyn
369,124,1.5,Brooklyn
4992,203,1.5,Manhattan
4200,0,1.5,Manhattan
1331,56,1.5,Manhattan
2310,121,1.5,Brooklyn
275,203,1.5,Brooklyn
66,269,1.5,Manhattan
107,256,1.5,Brooklyn
3465,202,1.5,Brooklyn
914,319,1.5,Brooklyn
5403,343,1.5,Brooklyn
1571,183,1.5,Manhattan
263,349,1.5,Brooklyn
576,0,1.5,Brooklyn
1197,340,1.5,Manhattan
12,0,1.5,Queens
25,0,1.5,Brooklyn
14136,261,1.5,Brooklyn
833,0,1.5,Brooklyn
108,0,1.5,Manhattan
2730,359,1.5,Manhattan
216,365,1.5,Brooklyn
1280,46,1.5,Manhattan
2037,41,1.5,Brooklyn
977,274,1.5,Brooklyn
2625,336,1.5,Brooklyn
1575,0,1.5,Brooklyn
546,46,1.5,Manhattan
5190,121,1.5,Manhattan
140,116,1.5,Brooklyn
446,0,1.5,Manhattan
3348,173,1.5,Manhattan
36,0,1.5,Manhattan
2310,298,1.5,Brooklyn
2415,348,1.5,Brooklyn
979,0,1.5,Manhattan
576,0,1.5,Brooklyn
1604,0,1.5,Manhattan
2304,195,1.5,Brooklyn
1882,103,1.5,Brooklyn
2520,179,1.5,Brooklyn
5775,264,1.5,Brooklyn
850,122,1.5,Manhattan
489,0,1.5,Manhattan
437,0,1.5,Brooklyn
3843,260,1.5,Manhattan
9450,0,1.5,Manhattan
321,0,1.5,Manhattan
41,363,1.5,Queens
5250,174,1.5,Brooklyn
746,100,1.5,Manhattan
2520,268,1.5,Brooklyn
19,0,1.5,Queens
1890,212,1.5,Manhattan
257,356,1.5,Manhattan
216,71,1.5,Brooklyn
2100,0,1.5,Brooklyn
2310,0,1.5,Manhattan
1945,148,1.5,Brooklyn
1200,349,1.5,Brooklyn
173,0,1.5,Queens
2191,340,1.5,Brooklyn
2093,0,1.5,Manhattan
2370,315,1.5,Brooklyn
2955,318,1.5,Brooklyn
710,342,1.5,Brooklyn
202,0,1.5,Brooklyn
1899,72,1.5,Brooklyn
1504,345,1.5,Brooklyn
274,0,1.5,Brooklyn
9,0,1.5,Brooklyn
2070,84,1.5,Manhattan
571,348,1.5,Queens
40,0,1.5,Brooklyn
162,268,1.5,Brooklyn
100,0,1.5,Brooklyn
1991,365,1.5,Brooklyn
22,0,1.5,Brooklyn
1119,0,1.5,Brooklyn
1575,359,1.5,Brooklyn
3990,0,1.5,Manhattan
5250,168,1.5,Manhattan
1850,348,1.5,Brooklyn
1058,44,1.5,Manhattan
441,0,1.5,Brooklyn
1575,113,1.5,Brooklyn
1260,225,1.5,Manhattan
275,88,1.5,Manhattan
5250,159,1.5,Manhattan
4305,243,1.5,Brooklyn
296,0,1.5,Brooklyn
1123,111,1.5,Brooklyn
393,345,1.5,Staten Island
356,365,1.5,Manhattan
207,345,1.5,Brooklyn
1373,334,1.5,Manhattan
795,365,1.5,Queens
1062,89,1.5,Brooklyn
2079,296,1.5,Manhattan
1765,263,1.5,Manhattan
1089,338,1.5,Brooklyn
1691,145,1.5,Brooklyn
740,42,1.5,Brooklyn
888,236,1.5,Manhattan
1034,141,1.5,Brooklyn
1638,93,1.5,Brooklyn
526,360,1.5,Brooklyn
597,337,1.5,Brooklyn
2268,207,1.5,Manhattan
3885,323,1.5,Brooklyn
1755,0,1.5,Brooklyn
625,0,1.5,Manhattan
381,15,1.5,Manhattan
6825,1,1.5,Brooklyn
1995,32,1.5,Brooklyn
1674,0,1.5,Manhattan
1445,86,1.5,Brooklyn
10479,179,1.5,Manhattan
1848,83,1.5,Brooklyn
552,0,1.5,Brooklyn
3278,10,1.5,Manhattan
726,354,1.5,Manhattan
997,0,1.5,Manhattan
551,210,1.5,Brooklyn
41,0,1.5,Manhattan
461,184,1.5,Manhattan
2153,129,1.5,Manhattan
569,141,1.5,Brooklyn
645,0,1.5,Brooklyn
480,317,1.5,Manhattan
900,0,1.5,Manhattan
505,129,1.5,Brooklyn
1575,296,1.5,Manhattan
4200,0,1.5,Brooklyn
338,364,1.5,Manhattan
670,365,1.5,Brooklyn
585,365,1.5,Brooklyn
806,365,1.5,Brooklyn
2625,245,1.5,Manhattan
2728,12,1.5,Manhattan
1057,59,1.5,Manhattan
532,0,1.5,Manhattan
265,361,1.5,Manhattan
893,150,1.5,Manhattan
1690,51,1.5,Manhattan
176,348,1.5,Manhattan
3360,0,1.5,Manhattan
504,0,1.5,Brooklyn
102,0,1.5,Manhattan
863,120,1.5,Manhattan
3969,354,1.5,Manhattan
3360,0,1.5,Brooklyn
256,362,1.5,Brooklyn
974,258,1.5,Brooklyn
113,0,1.5,Brooklyn
3220,337,1.5,Manhattan
118,365,1.5,Brooklyn
2643,137,1.5,Manhattan
1170,73,1.5,Manhattan
604,357,1.5,Brooklyn
349,0,1.5,Brooklyn
828,0,1.5,Manhattan
239,365,1.5,Queens
99,89,1.5,Manhattan
706,264,1.5,Brooklyn
276,355,1.5,Manhattan
34,0,1.5,Brooklyn
108,364,1.5,Brooklyn
1974,14,1.5,Brooklyn
538,0,1.5,Brooklyn
5830,72,1.5,Manhattan
217,0,1.5,Brooklyn
1264,90,1.5,Brooklyn
1890,214,1.5,Brooklyn
256,295,1.5,Staten Island
426,0,1.5,Manhattan
567,356,1.5,Manhattan
210,0,1.5,Brooklyn
245,365,1.5,Manhattan
367,365,1.5,Manhattan
357,365,1.5,Manhattan
19,0,1.5,Brooklyn
2074,330,1.5,Bronx
117,362,1.5,Manhattan
224,365,1.5,Staten Island
1714,54,1.5,Manhattan
3908,0,1.5,Manhattan
1868,88,1.5,Manhattan
671,151,1.5,Manhattan
3045,343,1.5,Manhattan
1680,89,1.5,Brooklyn
11,48,1.5,Brooklyn
614,0,1.5,Queens
2991,71,1.5,Brooklyn
945,0,1.5,Brooklyn
2050,112,1.5,Manhattan
925,3,1.5,Manhattan
831,1,1.5,Manhattan
46,89,1.5,Brooklyn
164,365,1.5,Queens
7350,0,1.5,Manhattan
778,199,1.5,Manhattan
416,365,1.5,Manhattan
2795,0,1.5,Manhattan
77,364,1.5,Manhattan
870,365,1.5,Manhattan
1245,11,1.5,Brooklyn
2112,0,1.5,Manhattan
1423,320,1.5,Manhattan
2730,0,1.5,Brooklyn
1050,292,1.5,Bronx
918,115,1.5,Manhattan
1406,33,1.5,Manhattan
322,0,1.5,Manhattan
270,365,1.5,Manhattan
2583,34,1.5,Brooklyn
1848,162,1.5,Brooklyn
3470,302,1.5,Queens
4523,214,1.5,Manhattan
1161,267,1.5,Brooklyn
3045,0,1.5,Manhattan
3256,301,1.5,Brooklyn
4176,325,1.5,Brooklyn
933,113,1.5,Manhattan
97,0,1.5,Brooklyn
997,7,1.5,Brooklyn
3294,165,1.5,Brooklyn
2625,272,1.5,Brooklyn
123,0,1.5,Brooklyn
2224,340,1.5,Brooklyn
842,173,1.5,Manhattan
100,0,1.5,Manhattan
639,177,1.5,Brooklyn
3360,225,1.5,Brooklyn
523,291,1.5,Manhattan
1890,226,1.5,Brooklyn
558,8,1.5,Manhattan
1373,58,1.5,Manhattan
5250,75,1.5,Brooklyn
945,71,1.5,Brooklyn
923,256,1.5,Queens
3705,364,1.5,Manhattan
